,term1,term2,cos_sim
0,diamond,princess,0.9993605574279166
1,<START>,<END>,0.9713016182926348
2,cruise,ship,0.8683562749319447
3,<START>,coronavirus,0.8583360495133483
4,<END>,coronavirus,0.8413200022533653
5,691,57,0.8302427865898738
6,bring,total,0.8087246063834742
7,diamond,691,0.7336669635837734
8,princess,691,0.7141261181935755
9,691,total,0.6697602053845563
10,691,japan,0.6296783901414287
11,bring,691,0.6182347101059351
12,diamond,ship,0.5533217237548457
13,princess,ship,0.546314583560007
14,diamond,57,0.5386267320032047
15,ship,691,0.5272155497690163
16,57,total,0.5236900649228321
17,princess,57,0.520664729521901
18,diamond,cruise,0.4870645047354356
19,cruise,princess,0.481406788383
20,57,japan,0.47282045592544
21,bring,57,0.454557776623725
22,cruise,691,0.4530313653493987
23,confirms,691,0.4450023405419308
24,ship,57,0.38947979318442183
25,covid-19,<END>,0.3881886333481275
26,<START>,covid-19,0.3730682274393492
27,diamond,japan,0.3465337921912779
28,princess,japan,0.3307692140303402
29,cruise,57,0.3269489123261293
30,confirms,57,0.32472179339673457
31,confirms,new,0.27401213309537864
32,diamond,total,0.2646251715640955
33,diamond,bring,0.2639411550800289
34,case,new,0.26219681685042295
35,total,japan,0.24733027769855753
36,princess,bring,0.24561121013889986
37,case,total,0.2451075978076107
38,princess,total,0.24407271478974957
39,diamond,confirms,0.2309706293220628
40,bring,japan,0.22963867814008299
41,confirms,total,0.22691130043604657
42,princess,confirms,0.21672537255436763
43,confirms,japan,0.20918673969545387
44,#,coronavirus,0.20876529241843977
45,new,total,0.20874881176758475
46,",",coronavirus,0.19209682335700728
47,case,covid-19,0.19203044572098238
48,.,coronavirus,0.19063225486900637
49,bring,ship,0.1885929769452509
50,case,confirms,0.18447280434856506
51,ship,total,0.1834020384353794
52,",",<START>,0.18243559859540615
53,ship,japan,0.18098547192908965
54,",",<END>,0.17153395012643502
55,<START>,.,0.15233964378138376
56,ship,confirms,0.15065000217719549
57,.,<END>,0.14896973045049045
58,case,<START>,0.14699624730261518
59,case,<END>,0.14499030019956427
60,cruise,bring,0.14409215412518295
61,.,japan,0.14391324744584955
62,cruise,total,0.14272221838703536
63,cruise,japan,0.14065910495930467
64,<END>,#,0.13895474344690306
65,bring,confirms,0.13562840096388173
66,.,#,0.13475285049143504
67,case,.,0.13262542187426596
68,<END>,57,-0.13150275963356428
69,<START>,#,0.13120692339157336
70,new,691,0.12641772409643215
71,",",.,0.12391430130761139
72,case,bring,0.12384446815298555
73,",",new,0.12299760582857777
74,case,",",0.12023855283796969
75,cruise,confirms,0.11610322822191277
76,<END>,691,-0.11262519285988049
77,case,coronavirus,0.10648937260198221
78,<START>,57,-0.10017537587757253
79,new,coronavirus,0.09606172288381565
80,.,confirms,0.0955748302707029
81,<START>,new,0.09498099340035504
82,<END>,total,-0.0908368674825526
83,confirms,#,-0.09067036847014709
84,691,coronavirus,-0.08698099604349974
85,57,coronavirus,-0.08592604273668303
86,<START>,691,-0.08454683886559589
87,case,691,0.08382246708266528
88,ship,.,0.08347721461050361
89,bring,new,0.07835253261474695
90,",",#,0.07426972783243913
91,",",covid-19,0.07098883116392118
92,new,57,0.07056642354302434
93,cruise,.,0.06855123923985018
94,new,<END>,0.06848927095578572
95,diamond,case,0.0680825161791806
96,covid-19,coronavirus,0.06642840730957211
97,bring,coronavirus,-0.06620322396922851
98,bring,<END>,-0.06505877641726654
99,total,coronavirus,-0.06487328110210822
100,case,princess,0.06468847453188631
101,",",confirms,0.06366975064618452
102,covid-19,confirms,0.06129608743612991
103,covid-19,total,0.05803492640856478
104,.,57,0.05696006185306357
105,691,#,-0.056782758990880255
106,",",total,0.05603653945655984
107,bring,.,-0.05414160045887639
108,confirms,coronavirus,-0.053343707144570596
109,.,new,0.052584295269005876
110,case,#,0.04893657146434338
111,diamond,<END>,-0.04801858811501303
112,covid-19,#,0.04724943622715305
113,princess,<END>,-0.04545803518666247
114,diamond,<START>,-0.045168435133692286
115,<END>,japan,-0.04451387854347777
116,case,japan,-0.043966371258568726
117,ship,coronavirus,-0.043931645492311766
118,princess,<START>,-0.043189640405381535
119,confirms,<END>,-0.04239798613084944
120,",",bring,0.041368350308971125
121,bring,#,0.04119856089719309
122,.,total,-0.041171215332045596
123,cruise,coronavirus,-0.04083391071906006
124,new,#,0.039549695588124156
125,<START>,bring,-0.0366226212372196
126,<START>,total,-0.036282828190334016
127,diamond,new,0.035316019930258014
128,<START>,confirms,-0.03505120754942359
129,cruise,<START>,-0.032982123210310466
130,case,57,0.032374091964244345
131,covid-19,bring,0.03228799131225579
132,princess,.,-0.031856258035952045
133,covid-19,new,0.03162352222057818
134,",",ship,0.030393719523310714
135,new,japan,0.02897583021366623
136,princess,new,0.028521813972952947
137,#,japan,-0.027507932926300827
138,diamond,.,-0.0272579501654997
139,cruise,covid-19,-0.02596140972061156
140,princess,#,-0.02523301192351579
141,cruise,<END>,-0.02317283325342334
142,diamond,#,-0.02292152911005685
143,.,691,0.021434194883194313
144,<START>,japan,-0.021422923011510164
145,diamond,covid-19,0.021271410365504173
146,covid-19,.,0.020951903575112008
147,princess,covid-19,0.019886515914347647
148,#,total,-0.01890512843644765
149,cruise,new,-0.018402651206510967
150,covid-19,japan,-0.018000942923857233
151,coronavirus,japan,-0.017828599263861378
152,diamond,coronavirus,-0.017060479493745895
153,cruise,#,-0.015798788649363127
154,covid-19,691,0.014916956385478297
155,ship,new,-0.014291850075797585
156,cruise,case,0.013169606888540075
157,princess,coronavirus,-0.013064682391120463
158,ship,#,-0.01205180556086427
159,",",princess,-0.011464338804536345
160,<START>,ship,-0.010935040905862836
161,57,#,0.0104349133052003
162,",",57,-0.010385592041436853
163,covid-19,ship,-0.008509844308222547
164,diamond,",",-0.007861561533150985
165,case,ship,0.00695453545246183
166,cruise,",",0.003913896771819192
167,",",691,0.00358095567703387
168,ship,<END>,-0.0030402729997573985
169,",",japan,0.0009196567768899877
170,covid-19,57,0.0003067638629488112
