,term1,term2,cos_sim
0,<START>,<END>,0.9713016182926348
1,europe—but,ban,0.6852628045313052
2,europe—but,already,0.5683367005927894
3,covid-19,<END>,0.3881886333481275
4,<START>,covid-19,0.3730682274393492
5,europe—but,travel,0.3142296991012692
6,travel,ban,0.21500875361504102
7,ban,already,0.19642617928886819
8,<START>,trump,0.18250227902203153
9,ban,trump,0.17313721132424265
10,trump,<END>,0.15758382043359231
11,europe—but,trump,0.13597775085269403
12,travel,covid-19,0.1171600211264957
13,covid-19,already,0.09195358098960782
14,travel,trump,0.07171024686013261
15,europe—but,covid-19,0.06938567367245696
16,ban,covid-19,0.05795044856241993
17,already,trump,0.05671218499479924
18,travel,<END>,0.05443326807269444
19,travel,already,0.044798829428795095
20,travel,<START>,0.037801259516850094
21,ban,<START>,-0.023022918685726035
22,europe—but,<END>,0.02141983000920722
23,already,<END>,0.015560230402521635
24,ban,<END>,-0.008639369722036383
25,<START>,already,-0.004183446737496599
26,europe—but,<START>,0.0016745319945357107
27,covid-19,trump,0.00038611501746432797
