,term1,term2,cos_sim
0,robert,spy,0.9999821444795394
1,cia,former,0.9998859739248694
2,robert,david,0.9998457650060294
3,david,spy,0.9998195887934173
4,t.co14xwp6jfoa,steele,0.9993752723426382
5,cia,spy,0.9984214106115057
6,cia,robert,0.998413273326312
7,spy,former,0.9982617089085257
8,robert,former,0.9982423562699653
9,cia,david,0.9982308566124518
10,david,former,0.9980458068728383
11,david,steele,0.9956378818535894
12,robert,steele,0.9953515381384881
13,spy,steele,0.9953266713526546
14,david,t.co14xwp6jfoa,0.9946494273730356
15,robert,t.co14xwp6jfoa,0.9943340111728866
16,spy,t.co14xwp6jfoa,0.9943202702600277
17,cia,steele,0.9929511631315886
18,former,steele,0.9927644706372919
19,cia,t.co14xwp6jfoa,0.9917218250739821
20,t.co14xwp6jfoa,former,0.9915713602209543
21,sell,t.co14xwp6jfoa,0.9854276378027405
22,sell,steele,0.983378919599073
23,sell,david,0.972072425758227
24,sell,spy,0.9713716448877765
25,robert,sell,0.9713680746268738
26,<START>,<END>,0.9713016182926348
27,cia,sell,0.9652022908537815
28,sell,former,0.9649465712749994
29,sell,coronarvirus,0.8753498518259559
30,<START>,coronavirus,0.8583360495133483
31,<END>,coronavirus,0.8413200022533653
32,coronarvirus,t.co14xwp6jfoa,0.8176140400440102
33,coronarvirus,steele,0.8079211632896796
34,david,coronarvirus,0.7672915696946933
35,robert,coronarvirus,0.7654299922062119
36,spy,coronarvirus,0.7651623945916846
37,knew,t.co14xwp6jfoa,0.7619412055562765
38,knew,steele,0.7603886440150333
39,knew,sell,0.7600874883048193
40,knew,spy,0.7553410365791005
41,robert,knew,0.7551555114070738
42,knew,david,0.7550330184413095
43,cia,knew,0.7523332746946976
44,knew,former,0.7523256052695231
45,cia,coronarvirus,0.7484342522026664
46,coronarvirus,former,0.7476458827484511
47,sell,solution,0.7322168972722509
48,solution,t.co14xwp6jfoa,0.7236184773158582
49,solution,steele,0.7214133079967691
50,david,solution,0.7152191543262796
51,spy,solution,0.7141306082923542
52,robert,solution,0.7140763212088604
53,solution,former,0.7113732196385262
54,cia,solution,0.7108652316871193
55,knew,coronarvirus,0.7003205559854504
56,coronarvirus,solution,0.6725203630281607
57,problem,sell,0.6178122136199174
58,fuck,coronarvirus,0.6094207965701317
59,normal,former,0.6065336234579729
60,cia,normal,0.6060176906290343
61,problem,t.co14xwp6jfoa,0.6052445235854622
62,problem,steele,0.6044541436186472
63,problem,robert,0.5983145837333969
64,problem,spy,0.5982820794160834
65,problem,david,0.5981008453562825
66,normal,spy,0.5979413562023533
67,normal,robert,0.5978375861929566
68,normal,david,0.597386122829918
69,problem,former,0.5961545540133484
70,problem,cia,0.595858433107317
71,problem,coronarvirus,0.5897060356799376
72,coronarvirus,create,0.5896877697273164
73,normal,steele,0.5850922765462034
74,normal,t.co14xwp6jfoa,0.5825633145208555
75,knew,solution,0.5507097569000575
76,sell,create,0.5503554666941108
77,t.co14xwp6jfoa,create,0.5312349051599653
78,steele,create,0.5236767228676459
79,david,create,0.5106669084847136
80,robert,create,0.5104593278712611
81,spy,create,0.5104528342178887
82,former,create,0.5102160657892557
83,cia,create,0.5095874314745222
84,normal,sell,0.49487003962405574
85,point,coronarvirus,0.47216642522416863
86,problem,knew,0.44255291752548886
87,normal,knew,0.43280481759812117
88,problem,solution,0.40484189079643296
89,solution,create,0.37325478932496703
90,point,sell,0.3713318611154436
91,knew,create,0.3661285234154923
92,fuck,sell,0.3653523089091575
93,normal,solution,0.3443589180316169
94,point,t.co14xwp6jfoa,0.3238713883653497
95,point,steele,0.3209391983674982
96,point,david,0.313656123992631
97,point,spy,0.31363970522282025
98,point,robert,0.313429045352838
99,fuck,t.co14xwp6jfoa,0.30884552932588716
100,problem,create,0.30751876359888386
101,fuck,steele,0.3061926209546344
102,vaccine,coronarvirus,0.3035408823027329
103,normal,coronarvirus,0.2993037267845189
104,problem,normal,0.2861089599367198
105,fuck,create,0.2656833466317652
106,cia,point,0.26186904937871813
107,point,former,0.2616189024989859
108,point,knew,0.2615333206211625
109,point,solution,0.2512377642161303
110,fuck,solution,0.2508591760678047
111,fuck,knew,0.2497089878887342
112,cdc,former,0.2454502900190978
113,cia,cdc,0.2446117814997668
114,normal,create,0.2427788492128622
115,cdc,spy,0.23763937250353162
116,robert,cdc,0.2371262254228369
117,cdc,david,0.23624926902724386
118,:,http,0.2326021231448948
119,cdc,steele,0.22321457991426585
120,:,coronavirus,0.2216352201094578
121,cdc,t.co14xwp6jfoa,0.2214950564226268
122,vaccine,create,0.22050504610288568
123,problem,fuck,0.21953581513187514
124,fuck,david,0.21701168677228477
125,fuck,robert,0.215836264743279
126,fuck,spy,0.21581816306718715
127,cia,fuck,0.20914776532783097
128,fuck,former,0.20905305601652047
129,<START>,:,0.20902987694264885
130,#,coronavirus,0.20876529241843977
131,problem,point,0.20786824489354905
132,:,<END>,0.193818459043264
133,",",coronavirus,0.19209682335700728
134,.,coronavirus,0.19063225486900637
135,http,former,0.18406853655989386
136,http,steele,0.18313803422367148
137,david,http,0.1829951594330972
138,cia,http,0.18298687912161604
139,robert,http,0.1828055220902327
140,",",<START>,0.18243559859540615
141,spy,http,0.18172047377592726
142,http,t.co14xwp6jfoa,0.1815983665469727
143,",",<END>,0.17153395012643502
144,cdc,sell,0.1689274250230144
145,take,coronarvirus,0.16474236052085
146,point,create,0.15774061088724
147,sell,http,0.1526074558403977
148,normal,cdc,0.15252964241817069
149,<START>,.,0.15233964378138376
150,knew,cdc,0.15008866213267014
151,.,<END>,0.14896973045049045
152,case,<START>,0.14699624730261518
153,case,<END>,0.14499030019956427
154,point,case,0.14495702965390467
155,point,lie,0.14347652267613298
156,.,solution,0.14129241041646345
157,<END>,#,0.13895474344690306
158,.,#,0.13475285049143504
159,case,.,0.13262542187426596
160,knew,http,0.13220439444850585
161,<START>,#,0.13120692339157336
162,fuck,point,0.12839450673245068
163,normal,<START>,-0.1280819389868011
164,normal,http,0.12661146637633036
165,",",.,0.12391430130761139
166,vaccine,sell,0.12368033696360559
167,normal,coronavirus,-0.12164581952819109
168,case,",",0.12023855283796969
169,normal,lie,0.11833379708858327
170,problem,:,0.11710317308686935
171,take,sell,0.11638131128455065
172,.,lie,0.1148095663578016
173,david,coronavirus,-0.10883655378458701
174,case,coronavirus,0.10648937260198221
175,cia,coronavirus,-0.10572404004975833
176,robert,coronavirus,-0.10569233408842615
177,say,solution,0.10517639620452446
178,knew,vaccine,0.104296617505369
179,spy,coronavirus,-0.1032142404069245
180,say,former,0.1027061751267282
181,cia,say,0.10239057765791038
182,lie,spy,0.10180254674121736
183,coronavirus,former,-0.10120592006099738
184,robert,lie,0.10120355015692284
185,coronavirus,steele,-0.10057727678460604
186,david,lie,0.09995670972629245
187,lie,former,0.09981754690435296
188,cia,lie,0.09960396934565341
189,say,spy,0.09943572654816846
190,robert,say,0.09898248310211888
191,say,david,0.09845043022104871
192,point,vaccine,0.09811192664683788
193,problem,cdc,0.09778419984304276
194,coronavirus,t.co14xwp6jfoa,-0.09726430437514866
195,cdc,create,0.0961254453568181
196,take,solution,0.09468321219832943
197,<START>,david,-0.09420868275068872
198,normal,<END>,-0.09370259214236842
199,robert,<START>,-0.09177139314603111
200,<START>,http,-0.09134961502889549
201,",",lie,0.09061440237264629
202,cdc,lie,0.09006112433360014
203,say,steele,0.08992311860188362
204,cia,<START>,-0.08971601590197853
205,vaccine,.,0.0896712802305597
206,<START>,spy,-0.08920347318594835
207,take,t.co14xwp6jfoa,0.08876933611762661
208,say,t.co14xwp6jfoa,0.08832368572603633
209,sell,coronavirus,-0.08814243685266199
210,lie,steele,0.0878673910365605
211,cdc,solution,0.08776624282379386
212,",",say,0.08737753284661554
213,<START>,steele,-0.08707800875768901
214,solution,http,0.08663101304588028
215,take,steele,0.08654119183648334
216,#,http,0.08650909095091142
217,lie,t.co14xwp6jfoa,0.08626482763212417
218,knew,coronavirus,-0.08624187977628872
219,say,http,0.08532803427430069
220,vaccine,solution,0.08511267064359551
221,<START>,former,-0.08487339955585571
222,:,#,0.08458556674423967
223,http,create,0.08264861942323676
224,<START>,t.co14xwp6jfoa,-0.08261562873026573
225,vaccine,t.co14xwp6jfoa,0.08074511738599288
226,take,david,0.08021560543404116
227,lie,http,0.07928854856174394
228,<END>,http,-0.0788611991726329
229,fuck,.,0.07866180893546537
230,fuck,lie,-0.07815949131114985
231,take,vaccine,0.0779192750142006
232,<START>,sell,-0.07765005379514589
233,case,coronarvirus,0.07435107253933171
234,",",#,0.07426972783243913
235,:,.,0.07396319277414465
236,case,sell,0.07359699795125918
237,<START>,coronarvirus,-0.07205854019507796
238,case,solution,0.07198028438238346
239,coronarvirus,coronavirus,-0.0715885489711452
240,<END>,create,0.07153684886276668
241,say,sell,0.07150078607533294
242,.,coronarvirus,0.07106211746700597
243,coronarvirus,http,0.07097623120759433
244,vaccine,:,0.06922316434712861
245,take,fuck,0.06892949288581751
246,take,spy,0.0688340406118162
247,take,robert,0.06855959688175128
248,",",coronarvirus,-0.06844052688567848
249,problem,case,0.06775876035548611
250,take,former,0.06749872098373177
251,take,point,0.06707804512521343
252,fuck,",",0.06704119455277624
253,take,.,0.06684081676870357
254,take,create,0.06653256547496833
255,problem,vaccine,0.06584191307976694
256,take,cia,0.06559855576402163
257,http,coronavirus,-0.06545790157326703
258,:,solution,0.06411376129467827
259,fuck,vaccine,0.06409136556503325
260,normal,say,0.06243984301476202
261,case,spy,0.062124300307509484
262,robert,case,0.06129346249897749
263,case,steele,0.06113497091559117
264,case,t.co14xwp6jfoa,0.061008603354837376
265,fuck,#,0.0606235454078915
266,:,create,0.060595984831163685
267,case,david,0.05892503169907448
268,take,",",0.058873483862092124
269,fuck,coronavirus,0.05846413194097777
270,",",:,0.05751619195809443
271,say,coronavirus,0.0571617422971985
272,cia,case,0.05673300750954524
273,take,knew,0.05616909027706063
274,say,lie,-0.05594860980254013
275,problem,http,0.05483069841350907
276,lie,coronarvirus,-0.05454320347858377
277,case,knew,0.05448383405724189
278,",",vaccine,-0.05440225281782762
279,case,former,0.053669402268618494
