,index,tweet,tweet_text,clean_tweet
816,933,"RT @BeyondBlonde3: Seriously, since I’m 62 and therefore at risk here from the coronavirus, if you are going to protest vote or not vote at…","Seriously, since I’m 62 and therefore at risk here from the coronavirus, if you are going to protest vote or not vote at",Seriously since 62 and therefore at risk here from the coronavirus if you be go to protest vote or not vote at
817,1270,"Shoppers Drug Mart at Parklawn and Lakeshore already  completely sold out of face masks, hand sanitizer and latex gloves. #coronavirus #Toronto","Shoppers Drug Mart at Parklawn and Lakeshore already  completely sold out of face masks, hand sanitizer and latex gloves. #coronavirus #Toronto",Shoppers Drug Mart at Parklawn and Lakeshore already completely sell out of face mask hand sanitizer and latex glove coronavirus Toronto
818,515,RT @picardonhealth: ‘Should I cancel my travel plans?’ And other #coronavirus questions answered by @picardonhealth https://t.co/1iYC7k5sNF…,‘Should I cancel my travel plans?’ And other #coronavirus questions answered by @picardonhealth ,Should cancel my travel plan And other coronavirus question answer by picardonhealth
819,934,"RT @Jeres_Rant: 'Daily Show' Drops Mock Trailer For Trump #Coronavirus Disaster Movie 'Pandumbic' 

""One man... immune to information."" | #…","'Daily Show' Drops Mock Trailer For Trump #Coronavirus Disaster Movie 'Pandumbic' 

""One man... immune to information",Show Drops Mock Trailer For Trump Coronavirus Disaster Movie One man immune to information
820,840,RT @picardonhealth: Shut it down: The #coronavirus #pandemic can no longer be stopped so Canada must embrace social distancing to mitigate…,Shut it down: The #coronavirus #pandemic can no longer be stopped so Canada must embrace social distancing to mitigate,Shut it down The coronavirus pandemic can no longer be stop so Canada must embrace social distance to mitigate
821,222,"RT @Reuters: Six coronavirus cases discovered in north Italy, hundreds to be tested https://t.co/3ByawTguUS https://t.co/oDkwLQmyyL","Six coronavirus cases discovered in north Italy, hundreds to be tested  ",Six coronavirus case discover in north Italy hundred to be test
822,804,"RT @ChristiAnne67: Six coronavirus deaths in Washington state https://t.co/AZyfAeHVCU King County declares emergency

#PublicHealth
 #Educ…","Six coronavirus deaths in Washington state  King County declares emergency

#PublicHealth
 #Educ",Six coronavirus death in Washington state King County declares emergency PublicHealth Educ
823,445,RT @Reuters: Six people in the Seattle area have died of the coronavirus as authorities across the United States scramble to increase testi…,Six people in the Seattle area have died of the coronavirus as authorities across the United States scramble to increase testi,Six people in the Seattle area have die of the coronavirus a authority across the United States scramble to increase testi
824,990,"Smart move, well done: Trudeau in self-isolation as wife is tested for new coronavirus - The Globe and Mail https://t.co/hDGJdmtG66","Smart move, well done: Trudeau in self-isolation as wife is tested for new coronavirus - The Globe and Mail ",Smart move well do Trudeau in a wife be test for new coronavirus The Globe and Mail
825,26,"RT @680NEWS: So far, Canada has three cases of coronavirus — one of them being presumptive.
https://t.co/WgkJvHymjT","So far, Canada has three cases of coronavirus — one of them being presumptive.
",So far Canada have three case of coronavirus one of them be presumptive
826,771,"RT @canadahelps: So far, there are over 81,000 confirmed cases and 2,700 deaths from #coronavirus. Charities are responding at home and aro…","So far, there are over 81,000 confirmed cases and 2,700 deaths from #coronavirus. Charities are responding at home and aro",So far there be over confirm case and death from coronavirus Charities be respond at home and aro
827,912,"RT @hailey_salvian: So the player who didn’t take coronavirus seriously, and touched all the reporters recorders, has the highly contagious…","So the player who didn’t take coronavirus seriously, and touched all the reporters recorders, has the highly contagious",So the player who didn take coronavirus seriously and touch all the reporter recorder have the highly contagious
828,499,"RT @BuckSexton: So weird that the head of the CDC just thanked Trump for decisive leadership on Coronavirus, especially  the China travel b…","So weird that the head of the CDC just thanked Trump for decisive leadership on Coronavirus, especially  the China travel b",So weird that the head of the CDC just thanked Trump for decisive leadership on Coronavirus especially the China travel
829,1289,RT @JeffreyLuscombe: So who feels secure knowing it’s ⁦@fordnation⁩ and his band of bumbling MPPs who stand between us and the coronavirus?…,So who feels secure knowing it’s ⁦@fordnation⁩ and his band of bumbling MPPs who stand between us and the coronavirus,So who feel secure know it and his band of bumbling MPPs who stand between u and the coronavirus
830,691,RT @Danny_D_Pearson: So you decided to cancel your trip to the London Book Fair due to the Coronavirus... https://t.co/YB09tnwGoU,So you decided to cancel your trip to the London Book Fair due to the Coronavirus... ,So you decide to cancel your trip to the London Book Fair due to the Coronavirus
831,327,RT @UofT: Software developed by a @UofTStartup plays a vital role in 'critical breakthrough' in coronavirus research. #UofT 匿 https://t.co/…,Software developed by a @UofTStartup plays a vital role in 'critical breakthrough' in coronavirus research. #UofT 匿 ,Software developed by UofTStartup play vital role in breakthrough in coronavirus research UofT
832,841,RT @politico: Some 58 million Germans will become sick with the coronavirus if Angela Merkel's predictions are correct https://t.co/YEPoqyE…,Some 58 million Germans will become sick with the coronavirus if Angela Merkel's predictions are correct ,Some 58 million Germans will become sick with the coronavirus if Angela Merkel is prediction be correct
833,1121,"RT @CBCLorenda: Some of the passengers arriving at Pearson from Guangzhou, China today. The man who tested positive for #coronavirus flew t…","Some of the passengers arriving at Pearson from Guangzhou, China today. The man who tested positive for #coronavirus flew t",Some of the passenger arrive at Pearson from Guangzhou China today The man who test positive for coronavirus flew
834,1053,"Someone in BC DIED!

STOP with the ""risk of spread of #COVID19 in BC remains low at this time."" ! When the only death in Canada is in THIS province, you lose the right to dismiss the risk! https://t.co/oj4dyqJ7ea","Someone in BC DIED!

STOP with the ""risk of spread of #COVID19 in BC remains low at this time."" ! When the only death in Canada is in THIS province, you lose the right to dismiss the risk! ",Someone in BC DIED STOP with the risk of spread of COVID19 in BC remains low at this time When the only death in Canada be in THIS province you lose the right to dismiss the risk
835,901,RT @realDonaldTrump: Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protec…,Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protec,Someone need to tell the Democrats in Congress that CoronaVirus doesn care what party you be in We need to protec
836,1109,"RT @FaithGoldy: Soooo is Canada halting all flights from China amid the coronavirus outbreak?

Nope.

We’re flying a plane to the centre of…","Soooo is Canada halting all flights from China amid the coronavirus outbreak?

Nope.

We’re flying a plane to the centre of",Soooo be Canada halt all flight from China amid the coronavirus outbreak Nope We re fly plane to the centre of
837,952,RT @CBCAlerts: Sophie Grégoire Trudeau has tested positive for the coronavirus. She and the Prime Minister will be self-isolating for 14 da…,Sophie Grégoire Trudeau has tested positive for the coronavirus. She and the Prime Minister will be self-isolating for 14 da,Sophie Grégoire Trudeau have test positive for the coronavirus She and the Prime Minister will be for 14 da
838,1023,"RT @revolttv: Soulja Boy's cleaning supplies company sees major growth amidst Coronavirus fears
https://t.co/yAnFEq1WtP","Soulja Boy's cleaning supplies company sees major growth amidst Coronavirus fears
",Soulja Boy is cleaning supply company see major growth amidst Coronavirus fear
839,1119,RT @dmrider: Sounds like people who were on the same flight as the man believed to have #coronavirus are going to emergency units with no s…,Sounds like people who were on the same flight as the man believed to have #coronavirus are going to emergency units with no s,Sounds like people who be on the same flight a the man believe to have coronavirus be go to emergency unit with no
840,1004,RT @ShamsCharania: Sources: Donovan Mitchell was the only Jazz player/personnel to test positive for coronavirus out of 58 tests administer…,Sources: Donovan Mitchell was the only Jazz player/personnel to test positive for coronavirus out of 58 tests administer,Sources Donovan Mitchell be the only Jazz to test positive for coronavirus out of 58 test administer
841,379,"RT @ShamsCharania: Sources: The NBA has sent a memo to its franchises explaining that, due to coronavirus outbreak, teams should be prepari…","Sources: The NBA has sent a memo to its franchises explaining that, due to coronavirus outbreak, teams should be prepari",Sources The NBA have sent memo to it franchise explain that due to coronavirus outbreak team should be prepari
842,870,RT @ShamsCharania: Sources: The Raptors have informed their players to self-quarantine for the next 14 days due to coronavirus situation. T…,Sources: The Raptors have informed their players to self-quarantine for the next 14 days due to coronavirus situation. T,Sources The Raptors have inform their player to for the next 14 day due to coronavirus situation
843,523,"RT @dangillmor: South Korea was -- and remains -- vastly better prepared for coronavirus. For one thing, it has been testing relentlessly w…","South Korea was -- and remains -- vastly better prepared for coronavirus. For one thing, it has been testing relentlessly w",South Korea be and remains vastly well prepared for coronavirus For one thing it have be test relentlessly
844,430,"RT @Reuters: South Korea closes churches as coronavirus tally passes 3,700 https://t.co/ooI1X2YsFs https://t.co/6mjFpnYwSu","South Korea closes churches as coronavirus tally passes 3,700  ",South Korea close church a coronavirus tally pass
845,146,RT @globalnews: South Korea sets ’emergency’ measures as coronavirus outbreak swells https://t.co/Rx5uEp4WuO https://t.co/rZu2hrlz1B,South Korea sets ’emergency’ measures as coronavirus outbreak swells  ,South Korea set emergency measure a coronavirus outbreak swell
