,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,-0.012093550114799317,0.0009351654840016636,0.000976204603550964,-0.009518364088113945,-0.08340804413930054,0.012114301152758656,-0.030388433971758874,0.02001788940369991,0.01533261521045912,-0.0034076478425792874,0.04601693372585354,-0.008845056660758103,-0.03352376014827027,0.03479964010486408,-0.0032449013291088215,-0.08065357878576829,-0.0006067194340599307,0.05827247254427878,-0.02276715545120073,-0.022489766400086864,0.0859550673106937,-0.0039647311233557275,0.044863097320141515,-0.01969807827114878,-0.0035242233216372255,-0.011779247857430564,-0.00042593005105484344,-0.004832796334739554,-0.29685094400637213,0.007772766089033321,0.05904120916419449,0.0025773788487565095,0.087827544165629,-0.05454483014586692,-0.012966797298625873,-0.017364714668641923,0.09631059019018198,-0.007782416022846696,0.010343827979586863,0.0018301478478897227,-0.028261858530837215,0.036964970323611845,-0.017945070114093832,-0.020004071710457833,0.008268502497554224,-0.06960046365136294,-0.05554557373379143,-0.028867597892600277,0.008643041372099657,-0.04804801737290215
#,0.03008983289504158,-0.01154603214133011,-0.027933443370372617,0.004141214224634083,-0.020923622122630166,-0.011667078848782616,0.02873670829894913,0.025169261989776294,0.03635038035925088,0.11724142945575525,0.07191888372469797,-0.038493417749766896,-0.11250981682657657,-0.07502787303402725,0.017211809103793795,-0.019153907690924885,0.010329823755754967,-0.05015556003126583,0.02340949653579015,-0.09265514404366086,0.07934602658189108,0.011236838504545618,-0.01710134797202438,0.01773890152456615,0.011817570410790831,0.010758632325827069,0.001159300735342404,-0.03207501095983728,0.00974911101931044,-0.01433644929127605,0.03634593605065895,-0.031518131909931774,0.07546391956577844,-0.0009800277681251608,0.02756731425935656,-0.022867701971955194,0.015811316967261364,-0.023267349938181116,-0.10591715331440746,0.03621147104555055,-0.025798282131819873,-0.02756949122483503,0.047430650519853956,0.0840391326746231,0.04484041106173546,-0.010097909894659262,-0.05078997657583767,0.018668516056670692,-0.002559162782555831,0.03990960750660174
(,-0.017209584929416585,0.003450896811220799,-0.013768640601732798,0.016299604674855972,-0.0110892831123347,0.05942813736216898,0.20573841228984718,0.022734303347271136,-0.0928073360451877,-0.0035178413251468195,-0.20739221842745448,0.006478080006169662,-0.0025578502922026787,0.003867933763599647,-0.01363321409367569,0.0019818913377426073,0.007652308983297705,0.044112518237058806,0.002072475476843856,-0.14223318089124,0.10325216193807008,-0.026294500636146193,0.010175181047633559,-0.00014756715102651847,0.006166646733296898,0.005982367860287572,-0.13124309864363792,0.029372815193815627,-0.0038154249932253834,-0.009366984557123273,-0.07473012474964617,-0.04011784439145426,-0.007798192044714001,-0.026945718344461307,-0.024333841832053792,0.0010915051929486965,-0.008381895392321356,0.003956546471629365,-0.04298029083709366,0.0016536583853128022,0.014059941530312797,-0.00042711489984462777,-0.0019396786550130217,-0.031248696525195418,0.00788480741678841,-0.006893485587180712,0.013551647562623947,-0.1032998722155366,0.01201742922903978,-0.004168133629055645
),-0.015369533685745432,0.00545281882916878,-0.015889422398978073,0.01631334892692347,-0.01072038619032437,0.06050350961646132,0.20710093277779545,0.022378357483477124,-0.0933911694126612,-0.001944484742115473,-0.20561057585961473,0.009138211908558907,-0.0013623138660600652,0.003642514707394793,-0.012159835246782005,0.0015934846437775244,0.005634723537476339,0.04328901501597453,0.0013427805513920072,-0.14182442617625823,0.1025211048413112,-0.025140090709535212,0.011744331390001878,0.0009102493119267944,0.005781065826914228,0.005287540587691835,-0.13148459344592278,0.033181416624643856,-0.005159794086760584,-0.009033050728852854,-0.07525827052489281,-0.04076282545006843,-0.00850889728328923,-0.028562593534734695,-0.024629101736288673,0.0031637465342631,-0.008950814307379967,0.002785175699799961,-0.04099941860051967,0.0044772542507693445,0.012235365703225457,0.00020173561383754176,-0.0030829357270569973,-0.03114750755589218,0.0063980901647141125,-0.006262083568808939,0.014582945375490102,-0.11535143525216723,0.009816089642811056,-0.012142478947846494
",",0.009390760565999402,-0.028854615966934845,0.00024677768752898437,0.02392853218248582,-0.01870471182030047,-0.0017522904516225606,-0.002686030078026454,0.02113585803713433,-0.03690363018313379,0.031642932078279874,0.00641477332453675,-0.06191510583174399,-0.01829687925887173,-0.015309670755430677,-0.015050427794008472,-0.003823903744679468,-0.006735077968603332,-0.023113574172508936,-0.03134167114912556,0.06847435682077488,0.0477797456188573,-0.033111489552362164,0.004648215737651328,0.07777296292815418,-0.04178377726191848,-0.03218624848204486,-0.0125799663213551,0.13815826031991216,-0.008354623445751186,-0.033165179090876934,0.009933284829798297,-0.05776104460691156,-0.01608304262547042,-0.009110437082092167,0.018167893932965536,0.008993616965179781,-0.008226014136679699,0.014116813417080605,-0.007217052254566507,-0.0006949867200633448,0.10509137294007154,0.0720780391558348,-0.03656728693127542,0.07536243646840482,0.052915780540040334,-0.07595843111709785,-0.021309844162021575,-1.060395731688861e-05,-0.008622970628117173,-0.07399767139114394
-,0.023558120518829696,0.12727321374494396,0.007142606361770212,-0.018556206125519725,0.015458383768181,0.01822383277437192,0.056730385441451654,0.04222787084188265,-0.08589259802537086,0.013153226337199548,-0.0014064333508711155,0.14178610887723567,0.03229580461926983,0.00031818705450562066,0.01361080510101663,0.01740785513331554,-0.03776331329880573,0.032279306208101745,0.04307596710239542,0.1619145706932359,0.0832605281351613,-0.02877079569710937,-0.010203040277439786,-0.016086845674868927,0.0005219046938327214,-0.09841127519792264,0.017595607412630866,0.046476198095958994,0.023779092648540376,-0.01610214307475212,-0.0060260299475693585,0.008728745161135575,-0.015509104941170464,0.020179324524598224,0.022581038774309854,0.006107286594048891,-0.014757323057255155,0.0017514881331703062,0.0028425158392243674,-0.015439695559437042,-0.03651966185668567,-0.035940947173596485,0.032558334553563786,0.01594475379086228,-0.025933023947455447,-0.00021739977273408512,-0.16773773483015603,0.017867011266746106,-0.013998278989258327,-0.01951799539359813
--,-0.024383719164886727,-0.029229341910617886,-0.0013234446528254573,-0.008953689565312797,0.0015824646364773322,0.03670275200185967,-0.034533522571965306,-0.026943764629251278,-0.0007018528146776207,-0.020110993747292846,0.005429135782814819,0.02496376905755761,0.040010760198272946,-0.026677937961306582,0.006710704981689584,0.01281033723639461,-0.006727574206276191,0.0265065473341841,0.010078178256972083,-0.018657289072106092,0.0022566597995677656,0.011629333262437704,0.012660736412628035,-0.01758634807451904,0.013464386191030707,-0.022213615994649404,0.008907851822254594,-0.00676625098777827,0.004426442592657989,0.006769678154717668,0.06179998910102437,-0.00046156051370658516,-0.0016585415563589358,0.009384202296053185,-0.03571762437690443,0.0005583960164137554,-0.01391559697794019,0.022843595635635358,0.0014908227608704302,-0.03905145031665358,0.22285859933668334,0.050377528105354966,-0.016629016944425822,0.0029807699853386955,0.05873693257546039,0.013485034552178081,0.015582984405998302,-0.008089925271125243,0.01003743008921312,-0.017548535815409463
.,-0.09138383036052762,0.06579778872020581,-0.008920457185702387,0.0061745004723048735,-0.04179746667210128,-0.05251200938334729,-0.054608794032107846,0.020673984932703796,-0.06033486270487694,0.019276578427935866,0.025760446151966942,0.02327962257401761,-0.04291462896224811,0.020333992688281562,-0.005254458309789314,0.013160463315559518,0.03968677952017019,-0.00654323017582091,-0.08774596408782391,-0.010893723110818116,0.022552249754872453,0.014285573754058627,0.0031000417408302743,0.0909126578764816,0.011541066464456368,-0.029046852303013272,-0.035615094742876795,-0.023984628497227465,0.03232351522663285,0.03524319691126687,-0.014030308277522129,-0.013718308310924696,-0.0009510311121939934,-0.012694665075130005,-0.027918180009066866,-0.010693076344431694,0.07813216589785633,0.030771784638178583,-0.004690542647270457,0.014715187493799749,0.011149588207001373,-0.02406076660237661,0.053336186418033796,-0.0003588306760105672,0.048555902928105105,0.0026947583965233526,0.005263610794000245,-0.02911117658758122,-0.05122478174126274,-0.001475764232123443
..,0.011112264646475307,-0.0051048902810577855,0.009039894338930475,0.0004427549098843681,0.007781257709349397,0.001904429082452517,-0.005444739300985552,-0.00022825624294161163,-0.011213282640130268,-0.0010413909849455566,0.003830621721546814,0.03598597890384674,-0.004426759867223098,0.003782580740361643,0.005910675660659446,0.003942553305079808,-0.005075134785318276,-0.05618663374456731,0.0050546922161547984,-0.01086919444978719,0.0011549222861321753,-0.007914875131793628,0.00751164622516529,0.011533380081705846,0.0013403120660710182,0.005618168836220094,0.005886393368190979,-0.014762182044506938,-0.00036378832376572195,-0.004043321727341151,-0.006696794070489034,0.011526979172772192,-0.0008126018472630302,-0.004461864146144984,0.008410180654297501,-0.000723079498321994,-0.003236190105423124,-0.006831801005284901,1.6226332565135414e-05,0.0068211858067802845,0.0008109501187284448,0.0018145087328493123,0.0019303626461450955,-0.003743827476522306,-0.010171180127672892,-0.004488155209157454,0.007930149395361666,-0.014244629612688603,-0.00431664344207609,0.004656232441404142
...,-0.0016143421727250586,0.05815293513583779,-0.05668616569873282,0.0027093665975937847,-0.13071930227712064,0.030154836289539806,-0.022305606026817998,0.012130394734625877,-0.029032869849827066,-0.030292866366682006,0.010508022226341993,0.009271596992691209,0.01130171911534692,0.017808295196150917,0.02598033313174091,-0.024263244310370115,-0.01844490474818585,0.07198571374977232,-0.011864902982881285,-0.015903870489521583,0.15585980977455513,-0.03775233134842519,0.027982195969771168,-0.016067125067605208,0.019991857602302293,0.00015147253432863184,0.020107633643503323,-0.0002799001279925649,-0.0003371314585489168,-0.02730386596475945,0.002282962632675491,0.007818886533968682,0.0040838278605076425,-0.04354073943740859,-0.030600948086633876,-0.010896140427832404,-0.017953928724428466,-0.01011880330185545,0.006303007334887944,-0.014039234080522048,-0.013342450271783197,0.009744738542969013,-0.03498112943367672,-0.02994368601936389,-0.015090812921319183,0.015282566605673654,0.011008422283239075,0.005587541872720232,-0.03871207295782161,0.01925800804157243
