,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,-0.00199461694475056,-0.007400142318850537,0.0026477054414734778,-0.0029620949001276688,0.0002304075328769476,-0.00678709986368045,-0.0027931741918907614,0.008169777763847367,-0.002835962685938965,-0.0028529840180966243,0.004503372156967518,-0.014630115205018899,0.0070214484568236965,0.0005555380976866977,0.0044256582356800595,7.427241303614024e-05,0.0004049658699216141,0.004226164048344402,-0.005698308307903171,-0.005307702453820222,0.003946818645081559,0.0004507933539752533,-0.0008732669633341383,-0.004550080516950068,-0.007710300245921033,-0.0003879397709346912,0.0018082530325677425,-0.9280127064691228,0.0023931209024418733,0.001421507319706878,0.0030596377491497635,-0.008124663389556017,-0.004610876667422371,-0.004927569516926692,-0.002419146658167561,0.004056300293746458,0.003166014059653187,0.0071768721254688,0.012547746536172076,0.003872785951477896,0.004589079988021104,0.007943832817350857,0.014982278420057175,0.0004946044433084395,-0.0045689718835100115,0.0036272664547841423,-0.0025733989925335737,0.004500455279614674,-0.00379676584727666,-0.0036755174672155554
#,-0.022109038472226863,0.0008380531675672848,-0.0034061269223607006,-0.0004768477195265103,0.0024800430556625773,-0.006256482073923406,0.0044210991614920606,-0.003031311655763258,0.009420236901184376,-0.0056952690496269,0.004870280335175234,-0.001463777058837299,0.006258895994743056,-0.003931685416884014,0.0026958277333754763,0.003207728885752728,-0.004974532370300436,0.008447149884982042,-0.002957004489059692,-0.005841375437817414,-0.00018587543629144162,-0.003247203213965332,0.005381118557844932,-0.004764119298629785,-3.4375234792397014e-05,0.003870593464950095,0.008189662944534739,0.001506561474690432,-0.007308923715435657,-0.012232017143999655,0.0030336396337367977,-0.003444909334805157,-0.0004787515944154131,0.006364167757941245,-0.0017006685817211598,-0.005105516128069277,0.004743354807428197,-0.0055306848699539215,-0.0018204858885596947,-0.9165795371196979,0.000611811748253234,-1.1300380593548542e-05,-0.005918616908787075,-0.006911418655343617,-0.0033427226980310212,0.005874276915969369,0.02020257749147162,0.0007408554293212334,0.00570739969057895,-0.008207193860438382
(,0.012444021267149554,-0.000528278104414838,0.003102549548098914,-0.008904982009862304,0.06890819947173427,0.0030873045254328144,-0.005208283448565701,0.0015616408755824516,-0.006646456896729359,-0.005523748842751849,0.010641583845785441,0.0011058705907228752,-0.002865038976303198,-0.009084519326722218,0.0020120343123949678,0.019612413026715698,-0.0025420246214576687,-0.00426231649449515,0.0002264499552727603,0.008497442643532338,-0.0005368347903598513,0.10139064295779436,-0.00031592556754773526,-0.013332918454002012,0.008197317829139903,0.009545759901981008,-0.0028719539181460627,0.0028362494134235483,0.0012640384537891333,-0.008193269891995527,-0.00036585529798223307,-0.06579790048168166,-0.003715136857155507,0.006191065381559367,-0.006946479138197315,-0.0025026555775821717,-0.00021642747061388547,0.01641119302256408,0.004389436030427066,0.0020285348703667806,-0.006628880330530013,0.00018695935139759895,-0.01794011850705154,-0.013999013771592274,0.0017167630759656017,-0.5605025634641319,0.004662707934384553,0.02816983376888399,-0.011850916306896855,0.0006656191289855428
),0.015220652871016828,-0.0017614753888014192,0.003730299734711117,-0.008340863029836056,0.08586694664152897,0.005950497355349213,-0.004028330246712538,0.002018442155072294,-0.005908089662269286,-0.005302739039288348,0.008696168136763178,0.0016386573348921244,-0.005232733581690909,-0.010406502271874729,0.003091705378113465,0.02317589802970313,-0.002725767303871359,-0.0028709612670341908,-0.002483622090185644,0.008033109860612822,-0.0006950569228780535,0.10373509244030478,-0.0026370209908960084,-0.011932342411958067,0.0075551822214762875,0.008039411626819367,-0.004377030970472307,-0.0008124952275852175,0.0008835713051305776,-0.008935954139339147,-0.001239945178243037,-0.06623407053004554,0.0016767137971643465,0.006432684633839356,0.00399680922967002,0.002015127092833541,0.0006146729475522399,0.015108320052097732,0.004005303986561145,0.002402114762967364,-0.007364018258750354,-3.427004384783626e-06,-0.016209038659522997,-0.013157512438046227,0.0016825828502213629,-0.5646090199786827,0.007369161285112257,0.02533854709764003,-0.013049777673069182,-0.00276447768854079
",",-0.16781275108934654,-0.005110233687612023,-0.044366053413188875,-0.010885839733450507,-0.00872887079583973,0.00045620395357735366,-0.014771895869522465,-0.08891607162469906,0.045941162340858016,0.011579367329932685,0.008972952960947139,0.02183703034335285,0.015005075863963756,0.03255766352447861,-0.031950759956109534,-0.022199364899789666,0.010328032048639729,0.07958509939762928,0.0460625166968673,0.0205024100297702,0.0033857489866574693,-0.018160819766235473,-0.02223576275188305,0.014439893511000983,0.001586722320443129,-0.06240100260692377,-0.0801518652441749,-0.004108876245569899,0.005151254859438539,0.007544096539669632,0.10211766587146251,-0.006871253268226948,-0.007942464639506328,-0.010793288577894645,0.21671733056779013,-0.004648759707578037,-0.009931759998265,0.0039734182774782655,-0.008296692394732876,-0.004941908548194847,-0.6416173657096743,-0.005272909558150029,0.019955170360528247,0.05017945839235145,0.005856840417396185,-0.005255157574286346,0.016544772266231668,-0.010320603923913478,0.008504900718675934,-0.008360535835233827
-,0.01809751261681947,0.0254858596251498,-0.026583229403202076,0.011349750413481862,-0.0026663841933390947,0.013705649481728761,-0.02715784961593899,-0.01004532605576935,-0.0246284564694137,0.024819595948783392,-0.0039059367537824154,0.013532511784155382,0.09526660573395547,0.034004156301277316,0.009807609735092197,-0.008739243733382904,-0.008786996174178049,0.004396465426629798,-0.10931854718801162,0.034841863533956664,-0.007275900959276049,-0.0186541573579672,0.0022234891239497293,-0.0074829169689456234,0.00548831851527448,0.0167950415635919,-0.0011868698308220515,-0.001551893651705855,0.0011465642296163492,0.019207576260905572,-0.021570333467472984,-0.04207190418864197,0.7104141400058848,0.0035631264963943213,0.014636180183796156,-0.01725285730012835,-0.006123711015774521,0.0013188600124452378,-0.004645398042062392,-0.00875833036585861,0.0052039211481420475,-0.006232094230164607,-0.009799183868980354,0.007933462573971546,0.005908893806596984,-0.004134816004640097,0.03868191825418312,0.017477314405535377,-0.0011891220434361045,0.010759082138528312
--,0.00194333336938043,0.017490696150473013,-0.003762068523950477,-0.010113779152792964,0.002355397959831036,-0.0031740813152146027,-0.025094249054406062,0.03171090705893836,-0.01597035975173114,-0.026155587481262385,0.031032461824182407,0.016200385613815586,0.0010671283564693038,-0.009048058231165983,-0.012142271722430271,-0.017743418205348218,-0.030342634159378094,0.011652438357241472,-0.08597007964378134,0.012745346972160893,0.030114741886434947,-0.02338638926572244,0.008801558748540744,-0.022271630965834427,-0.007557021487174579,0.00997915714946565,0.042665671575584194,0.00979375326315425,-0.06874854913440845,-0.00891578464365961,-0.022048992213968967,-0.006287343386010045,-0.056098582055516516,0.02692115407123756,-0.006513063676862831,0.0008330206618466177,-0.012616015737096722,0.009522748855232042,-0.007016857541160166,0.016748141391880897,-0.11639995978669944,0.03112043757266602,-0.014151027742343105,-0.004362552421145688,-0.027612664486748432,0.01067887945515308,-0.025022216879141374,-0.0065975189123937735,0.027366114092166993,-0.0006995563591581113
.,-0.1448911696449418,-0.007743368322865084,-0.1618852504336738,-0.02846508338572374,0.05893294329132529,0.1460105558592228,0.03655473376958978,0.028519330839567696,-0.00024256701983191558,-0.06914307833743485,0.022911446340888004,-0.024062515310718555,0.03235481021467736,0.01028755907010297,-0.002937440945012333,0.03245714358759471,-0.043296875785536905,-0.009499667682776047,0.006797749193126588,-0.6151133895698551,-0.020599454200701927,-0.04742298700114153,-0.007211159331467687,-0.0016188897424231439,-0.03791804155146815,-0.005340623773072458,-0.281160482216507,0.013602225872364402,-0.018533847120128358,0.009443513509567581,0.05184900045947218,0.008506455288354925,0.016219780997718068,-0.06937772457239236,-0.017664466816484467,0.024213379958578474,-0.008239847881033824,-0.03467227127273198,-0.007647560792200806,0.004628478977029558,0.012768925218284871,-0.01814234617942488,0.05013078442329743,-0.031953956987726156,-0.08121886172301132,-0.029921986064416366,0.0649285214262946,0.010926566003884341,0.07351128034815255,-0.027829011524952377
..,0.004121259431828322,-0.002915861282218558,-0.002752396975535219,-0.0005663512345101336,0.01038697462118668,-0.0006476480303532335,0.0027661884886867796,-0.005580824832185929,-0.0019223149687987544,0.0003691032508338488,0.004374895803037106,4.019212372333885e-05,-0.0038352421669021796,0.0013395591161402655,0.0011608660083864963,0.0019194864852989592,-0.0004429928019962036,6.506195207884462e-05,-0.009936896077702283,0.004638855613319275,-0.004638599127341892,-0.0006508587819881969,-0.00023723094185145854,0.005467564463502807,-0.002921339393222117,0.004806984425993435,-0.007453600273933368,0.0017053958994031253,0.00040829537697857393,-0.0005794899933882718,-0.0038482757789572125,0.0034063998561928294,-0.0010273630885252872,0.004323799611830581,-0.0008380924328747966,-0.005728194007555943,-0.003123537360660095,-0.024367342516203615,0.029463713189193684,0.003114170949728029,0.004584636255363215,-0.003034937325496604,0.0028815994679408374,0.0029298299906045317,0.004284542404926548,0.0013564120541137226,-0.0007430734208831606,-0.002442294101342621,-0.0035396381932921157,-0.0001893928864249113
...,-0.021198566521891154,0.0037182036162463922,-0.021865824936360828,-0.06083490544824621,-0.004521440728346248,0.07283210271694604,-0.02080863839322817,0.050835060845555044,-0.01671301272310762,0.011071654039505375,0.024761042340110864,-0.009967255879760207,-0.009494176665336607,-0.011723541463328966,0.02483484254866415,0.0344752360516216,-0.0015778561736833796,0.010484978829002256,-0.003307750368001362,0.02870787110327443,0.02042165790986529,-0.030724880045864954,0.029322720313873875,0.0187977495622828,-0.04631424160696467,0.06108356784861152,0.0013782181508115196,-0.030716868923797373,-0.02625841270007377,-0.006427584591418871,-0.0011954296998900387,-0.07421072346764956,0.03597696443601692,0.010591606192626226,-0.060695300007634685,0.028154594485208136,-0.0033790146008270895,0.006548037185271232,-0.01875131229321176,0.015373774723349248,-0.010768405057075476,-0.010903107300276223,0.0032198200785068225,-0.025843680276694453,0.011476741429903802,-0.016642861311464557,-0.021726552024802073,0.03973369116644633,0.0437860161716042,-0.009572704241025656
