,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,0.02005606690724375,-0.014166021105831648,-0.29243608641075214,0.007263590159072289,0.0009900596026867156,-0.022478394578677972,0.05539833854163313,-0.08262307755881794,-0.02697910969139065,0.012262210476023789,-0.011104231423007592,0.025927479922034806,0.0009156986396483364,-0.004079036350875264,-0.000992038221720338,-0.02810946529332429,-0.07885706675067156,-0.013078558473648399,-0.017138033004759867,0.010926508961143284,-0.0007361448500643984,-0.019408854826874634,-3.571265515407056e-05,0.05381311606366376,0.0528498711668232,-0.0019066879536803155,0.015201457230667416,-0.0020638266420647923,-0.0018747081896393052,0.08511668300258896,-0.06476922597898428,0.049790272598943176,0.010921306869104235,-0.03197752321328508,0.04028639755601243,0.005752940285437417,-0.008537258341720103,-0.007900783084665176,-0.022135058644690505,-0.09297390817713126,0.005477238067756736,-0.0001067967476111628,-0.03354942072687543,0.012643599843856797,0.06941112843473835,-0.04231314234104057,-0.006181687808472084,-0.003251899916021041,0.033854937788453,0.08341045295683616
#,-0.01704808796888134,0.012841790119730452,0.0034335352899947944,-0.03927534702421411,0.11158617924432263,0.07705727641355115,-0.04472946738436378,-0.08002498468953743,-0.10188396966066637,-0.01872124521358896,-0.03991217314496589,-0.017344496752450658,-0.024401129757633103,0.007188908863702612,0.014674966940211498,-0.02329181122195106,-0.030168258286312387,0.09846997898762364,0.0241762375041123,-0.0021172682102433647,0.02880431068689996,-0.036226018874541896,-0.0496446889122211,-0.00013179147520634045,-0.0036398604385722857,0.010385147861544312,-0.007698066722692594,-0.00385384836067208,0.004978275614168149,0.020652989547282376,-0.020862031973458983,0.06364114869902274,0.0026299793474546885,-0.00822339480115793,0.031242726518359423,0.009225488362940636,-0.033713556442877476,0.024895330498172965,0.013270889785775578,-0.011742433973338885,-0.03309646989563374,-0.04295423449162245,0.041238013566553905,0.0003085338011671083,0.05096204353550039,0.026476158284521177,-0.028509388537003938,0.010857265588730944,-0.0789866076914833,0.06843486522731115
(,0.020829758297170542,-0.025759296503759924,0.005552552149961268,0.013196762881230489,-0.007786208499080979,-0.019171533258836564,0.014506642091182388,-0.09018462105363542,-0.01261047807714351,-0.00908907978427162,-0.0032970217095940053,0.08214646763566132,0.004582352931385906,-0.010805994073077568,-0.01514711143741066,0.0086523597636679,-0.007145444138769014,0.03455854381985414,0.0004928147497205641,-0.016355319091390194,-0.008139632940051957,-0.016115531314933467,-0.019959587191504296,-0.0020389282028322898,0.009422386971051428,-0.013847610226419203,0.0100805577889944,-0.014761107135908787,0.11805314095810546,-0.006567094143820044,-0.006930234022849483,0.007261802709404975,0.004638608764810548,0.3706367112585704,0.005017627562456542,-0.005580772602622979,0.0038542818113254155,-0.03322643534122407,0.0038934815092037424,0.005808946291739673,-0.01366238939207427,0.005295184904801606,0.000811220414762932,-0.01132360881636953,0.001446876412551033,-0.003947605896058412,0.01675692760241736,0.012540930920383785,0.006105508803497794,-0.008204293796422363
),0.019398073042344244,-0.02723526122039062,0.0022905639326859777,0.012804964479636489,-0.006332581129191834,-0.019352074491638394,0.014161737900308379,-0.08977754465413837,-0.011126548313711924,-0.006951528463232331,-0.0027308634062522662,0.09445789789306315,0.007001743856145096,-0.010804887032964986,-0.012953469510621242,0.007039926331022505,-0.007449610287785676,0.032399188158925236,0.0016328307338882614,-0.015859691650256767,-0.011488046897497408,-0.015517398544342441,-0.017925981282048406,0.0007312467293518908,0.011015018014430666,-0.01237185928536009,0.007565591428175473,-0.012601195065603086,0.11814618014851572,-0.005900298124190954,-0.006046173246570712,0.008571264117510986,0.0024595866555230214,0.37223775532650283,0.0046101734681957204,-0.004239009668131817,0.0010317522773109751,-0.0317119427964297,0.0029559200640733646,0.005916008029318321,-0.013864882895477892,0.005683453888074976,8.351170016778885e-05,-0.011297383774513364,0.0007566868652875047,-0.01225087613513445,0.016012169174756993,0.012252424608231036,0.005938868317755098,-0.0082064255517389
",",-0.007338185597514285,-0.005488447758498241,-0.012721438835644132,-0.028822109367734248,0.0258738532226432,0.06541806974595835,-0.021403658563165028,-0.0414542821841998,-0.009058271262076697,0.006745864132188334,0.05036981333060084,0.003886764829709147,-0.0476957083115178,-0.02284014826946188,-0.0071117922337434825,0.10597407709843917,-0.018965681043683624,0.007250071634154259,0.07639446232604144,0.032892486541226146,-0.13610845776986835,-0.03296952889604196,-0.05394106323714237,0.012248164955959715,-0.003469697589249188,-0.013498313694557854,-0.018602762392277913,-0.01528288644316166,0.011596647496167255,0.00040222396649681373,-0.06821528576639285,0.00510582276553977,-0.015003044007177864,-0.012255339583153075,-0.043057506492444005,-0.01660429522493414,0.009293743185727912,-0.006988284691929353,-0.03197160394878671,0.007349062625696347,-0.05031216545673208,0.005198587160924393,-0.07892308669542725,-0.019700653828976185,0.010016221161728902,-0.06976493038540804,0.03566114246761366,-0.04057489942010146,-0.02305458234300667,-0.006493810956150898
-,-0.0381713591201794,-0.029706331130723823,0.017401336196982385,-0.026858550154295176,0.0068211545742035236,0.012100754034787919,0.038983142827036694,-0.0767642450602546,0.0385806164084133,0.03229192069592556,0.09532698449470212,-0.012834977563996583,0.13119900528512357,-0.0069535077220719025,-7.562529519288463e-05,-0.03177017620234496,0.015887255624979068,-0.002841925368572127,-0.018160329406789404,0.08922518781137512,-0.049360175667126645,-0.050343280644517055,0.019557811814405694,-0.014432840954515587,-0.020893322825408057,0.017436768912786567,-0.026910615864843557,0.12956022528469574,-0.01850925732971375,-0.0275798185113424,0.002034680483507207,0.0009451089763222141,-0.0008580457377089603,0.010277049550669555,-0.193611375191389,0.004996633622191224,0.02930455353801775,-0.0038143581506346275,0.03763243962983771,0.015040227970013031,0.011519176347328094,-0.020058633779515903,0.031236358066864603,0.01759600439786163,0.13561543631250259,-0.020462015308420477,0.05567744725950878,0.0023863560457724545,0.0017474928039421167,-0.010027300263749796
--,0.0240384013273004,-0.03638889422255277,0.005433910957912234,0.03601058078258938,-0.016583652474218686,0.001760364445718331,0.026347346636229667,-0.00409515368932149,0.03913592427575087,0.011012722640403705,0.0055487500996702285,0.007978738198298444,0.028927084731088425,-0.00174155393974635,0.004721502243151341,0.22393073854551554,0.0005323622371862481,-0.0029711001961083743,-0.01670315325300442,0.023019217813946866,0.005751355917748483,0.03220214517537585,-0.05193606941350028,0.011883837463866651,-0.00691993535355102,0.006445175644033247,0.016467011393197083,-0.036079994006579186,-0.006297843019886428,-0.012459362853580385,0.012427233131889877,0.04750226305171802,-0.0022593766732333905,-0.025874407105748773,0.04238565594217063,-0.025484971236426998,0.03581158190914497,-0.03143312665318672,0.009966099382264362,0.014025784535315129,-0.00027268961708632963,0.0003690965121471027,-0.05179198486890405,0.007358756093335306,-0.003674940154205706,-0.01630892148285958,-0.015513810505920407,0.01329034739452161,-0.026749781217985893,-0.0048900464535693335
.,0.051736096431043155,0.06356206848430306,0.0177210948977448,0.038694971150823834,0.00031625405161913667,0.016190126819188237,0.00038683406405964774,-0.029392375755222917,-0.03888891845508294,-0.047324513064081614,0.06081023302248946,0.03139290129727051,0.032423616295616436,-0.0009497763771638733,0.004416796274054646,0.004714335413599148,-0.04195044690780421,0.004867133082113243,0.07932072031228923,0.03219001178205693,0.02264524928353123,-0.02933170803278535,-0.048979636891428105,-0.019901501686977685,0.004797491326555352,-0.01369681820937394,-0.03521007719737937,0.04941348961774204,0.042682565726998536,0.004126625594198912,-0.02226355747801671,0.007121295853792498,0.00019674683242271868,-0.016254946761568245,0.017491103977294108,-0.032002823406315134,0.02049864470308645,0.020957856447659712,-0.07100397683273367,-0.07585786242168684,-0.028025385391521194,-0.02402854411447722,0.006480188746646928,-0.013163160710808176,0.011720562392687713,-0.015825693404646176,-0.025572984556516253,0.0061512529265103436,0.007406712033728998,0.012744262949820926
..,-0.01034960176050398,-0.0005638220407069433,-0.0006037728652898231,-0.008834211267069583,-0.0018663224396369335,-0.0030537515776669476,-0.059134358073668666,-0.0020759767448395423,-0.004361202584669368,0.005429624522894971,0.0057283472845019445,0.014008463230216362,0.03498562948342887,-0.000947280623241143,-0.010406335587151497,-0.0007973500470012282,0.00896533908795484,-0.00036023412512682076,0.010464028710612867,-0.00504741945438136,0.014524390771423468,0.0006620924621713207,0.011143939895850281,0.005453113357734547,0.003980924062893345,0.005952821907204246,-0.004484876831032163,-0.0034186358539908535,-0.00599638502798701,-0.0032790970373730243,-0.004748474981026896,-0.005140924354272738,1.683422507137806e-05,-0.0008057696445279253,0.010373809550785582,0.0061400827223811036,-0.005788624288049153,0.005132840902532732,0.006844390897129791,0.0026310038711131576,0.011268535858611024,-0.003879617605113764,0.0006842699206282916,-9.792936804404345e-06,-0.006772096322339857,0.004342593643744974,0.005277872695239545,0.00019723377295273405,0.003742457517259323,-0.0006477279083342694
...,-0.019831586227389793,-0.016564988959986038,-0.006254177379475624,0.0430334758011216,-0.03282249502832672,-0.01761617409824808,0.06366602714807992,-0.15617421117831468,0.013929531039325871,0.02322962145792765,0.01637842884969695,-0.009423434947837081,0.01430277507852184,-0.062031323952498385,0.04473718180627072,-0.01869537964832231,-0.1217055443118344,-0.007859283662558418,-0.01714633840395595,0.00031335922306020055,0.003989116806515225,-0.014718142440172726,0.02399307569869534,-0.0012745733707133571,0.0448166449368506,0.028091228219090124,-0.027349781125721347,0.04726378311590344,-0.02084006563004897,0.0316546691076976,0.0014116370349572757,0.018539864878528323,0.010714790698179304,0.021456912001108594,0.04285656909687844,0.008016570381142908,0.030825100141943534,0.011579605962770259,-0.0060905355077150655,0.015473771414719565,0.0034419975225526474,0.03984684488278395,-0.031770123789303155,-0.0036031669949350194,0.003932681896475291,0.018507639950606045,0.027831897362648017,0.015915993785594384,0.019441766333938244,0.007904669227483537
