,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,-0.025184707948450447,-0.030322895954655118,-0.004810462462863598,0.003384213750097299,-0.003997715250812972,-0.00867007123482608,0.004917960815924705,0.0020523783156264045,0.007054890509819685,0.04342643609301644,-0.016549943105738867,0.8286100467663992,-0.009841628728175601,0.0037537172712492194,-0.0011947344333198212,0.002015647723128738,0.006760886310669794,0.023144225020930696,0.014803187284535863,-0.00013873293158406805,-0.019505679551033127,0.005331656551871155,0.0022525868056789047,0.07893667776012028,0.02053356796300687,-0.014834155767790479,-0.0003172673239197413,-0.006077164073547034,0.03885686371075606,-0.005353588765609803,0.011604371966064094,-0.006886807812056101,0.0026877213284283233,-0.005141591364985955,0.005583605928819364,-0.02188937911108098,0.01679596229441798,0.014748211195771112,-0.006623061689999278,-0.07690259815211226,0.008328095178639361,0.0008298933771908781,0.0054870141527383854,-0.009170584482577526,0.009317026208375568,-0.003485393732195496,-0.011219839055804441,-0.024130794439502272,-0.009382959937863346,-0.002590952498213176
#,0.03887280172489534,-0.005177161564923795,0.0981260874281067,0.03176784081418199,0.08432516213431016,0.05473964962671407,-0.04236789048555695,0.028213344082737193,-0.04063726039306731,0.14103836092892302,-0.09083909139435062,-0.024781070947268356,-0.022282578590103415,-0.03132777671473515,-0.0307216082729198,-0.006975109263609793,-0.016420016085625957,-0.023665524021517982,0.006478576668542591,0.002833485379304952,-0.02981546391152879,0.03261029657736506,0.3181659029230941,-0.010582575226260774,0.031004491283342327,0.20087613998837478,0.023502002499571482,0.011445242929601763,0.043824249046558086,-0.01797236232862354,-0.013646330421354044,0.2625051786544946,-0.005235672979589001,0.03575866798622489,0.0017755395602241089,-0.05374524719459245,0.03361573591493069,0.0425299723199,-0.07648432819827639,-0.03400155787261844,0.0313667237471634,-0.24161858328010985,-0.14401068962743027,0.02399779650409685,-0.0183482676841514,-0.023398886716140113,-0.00619093193955118,0.03320215155099959,-0.0198888823436147,0.0570739174274406
(,-0.009764183869750477,-0.0006415585552878335,0.0067789045001482905,-0.006582639266685059,0.03314758437025715,-0.007086848663860095,-0.007719354054052508,-0.00402976871626144,0.00018917992287583937,-0.004134999618877852,0.002614457913188715,-0.0026454444433474424,-0.012180887000756485,-0.009762691190514402,0.00564003202684007,0.010232282943434336,-0.07909923055453774,0.0012596989334409453,-0.0006247017952826861,-0.006198847708912549,-0.013830644205348495,-0.004091152407039992,0.015086877613092992,0.047154553203914755,0.001243369841029246,-0.014757906189278205,0.00957641881655079,-0.002821670202961115,-0.004347305956998725,-0.003824727897328176,-0.004078914512012827,0.018643659970944575,-0.009378226568278665,0.004012909149134651,-0.5382160421561053,0.01639686191794806,-0.008314972281235268,-0.008486594907565294,-0.00479062925454197,0.004972507428429853,-0.0054537283163855295,0.0006860377902862423,0.0086964394940364,0.01886307742659042,0.004984084933584631,0.11253906474419723,-0.0028527003517757298,0.0012092334102107166,-1.6807780478500923e-05,-0.004634526072745272
),-0.014265894379569502,-0.001014675972949474,0.0075241458699911255,-0.017687911453348897,0.03129913740764972,-0.005982321262107565,-0.00881739699971319,-0.0016999888008109665,-0.001010649555743654,-0.003336517954276406,0.003640064565950051,0.002048698416225576,-0.011593753304539137,-0.008223589573564276,0.007691329678704786,0.011233542816782266,-0.09415635277868661,0.0036972336055974223,-0.0011108692928527616,-0.004558655259024134,-0.011029011974323244,-0.00487104938381318,0.017626029869764852,0.047634877963042686,0.0033132418730744085,-0.01479902601829072,0.008514502581638585,-0.0014719255269882363,-0.0023497881825360173,-0.0032019226649782784,-0.0026723125727223457,0.015258427542671026,-0.005078812404090376,0.00038979574086166376,-0.5405219543204314,0.017273786336683,-0.007443363993492238,-0.009279964248651566,-0.007278436479634864,0.005150757269086956,-0.006641004376258958,0.0029539273283543345,0.010863663532639173,0.019144586283015172,0.004326468943112823,0.1140801790017113,-0.002588850402846821,-0.0017233417661076198,0.0007229538619786424,-0.006440838590366441
",",-0.011793776604897112,0.008535548087006614,-0.0449777731256131,-0.13574456634683377,0.03618918849917097,0.019588426301287855,0.0382947099564143,0.05764239325619745,-0.019639590103958746,-0.03298954812498765,-0.01888464057024694,0.022688160351674688,-0.005720485669087368,0.03168577015098875,-0.05517146614282581,0.02352416274889032,0.0017256329927300804,0.033359513980784024,-0.10978962142873847,-0.001813473526358645,0.00212817043844536,-0.0024778577230401277,-0.004581367796934655,-0.008701994261130741,-0.005507800755378535,0.024378400595080695,0.024606522459184165,-0.01991341877707401,-0.15268100760657494,-0.260233966526622,-0.001665109385197022,-0.007347775490967586,-0.016962423383800582,-0.005357932861565486,-0.01715584559804434,-0.006999809365835036,-0.0008405914253718084,0.030695746631954547,-0.013533290886575235,0.021221284063460126,0.1137228575094075,-0.06735648967818278,-0.020089473973350314,-0.059876317396632,0.0045420929208355824,-0.018434568758868203,0.04722594708363931,0.029513175474537016,-0.0036743071535104217,0.00015767467599871535
-,0.04270378238863594,-0.0015390550568549557,-0.02964785740814585,-0.0314960127591348,0.004942199733484457,-0.01056562900084522,0.01692478481190987,-0.06948363365682782,-0.011090631596612747,-0.013611559877883917,0.010520817466343656,-0.004639950951599261,-0.031836580853146515,0.007680777650837176,-0.004965430674214692,0.024595111080402715,0.0011235865031456382,0.021160213686636255,0.027180702500451348,-0.002525256346970979,0.4522101981118461,-0.011926394714667983,0.005755347325502622,0.00845722761418977,0.12400736161618645,0.006295218954872671,0.027855861048862274,-0.02869556976703115,0.00775615353456589,-0.03347218199042436,0.002718152471147923,-0.018589091635226016,0.2007377664842664,0.008469022494162756,-0.008960107303834957,-0.051279791605894826,-0.01518078326546263,-0.012864243362871522,-0.21455345226526032,0.01804671981479448,-0.007146715992034912,0.005287875373741363,0.05100029638787651,0.07851567686044586,-0.004285790597790258,-0.023214839596549783,-0.046960949623538376,-0.01104439958239214,-0.2477642812742992,-0.09752224510070726
--,-0.014365957741334616,0.037996289836342866,-0.033274186664922475,-0.011692014781654443,0.010397370834342426,-0.043099749963238496,0.001009619840324634,-0.015233357687956015,-0.00837476231201003,-0.012687601080482249,0.01590460276324025,-0.00434349515769595,0.008511555569958093,0.010967497781235794,-0.03718524905142804,0.0023481813081728323,0.011108522835897092,0.0558747141567795,0.022979029575825587,0.0037082242959658525,-0.08009099797716318,0.023352201318507064,-0.007948690233738781,0.013379953733494716,-0.03259067282237942,0.051940729899463106,0.026511239492702062,-0.02193312701129359,-0.11822784746597102,-0.08117270301514086,0.020305701272565205,-0.011275663188209857,0.053758968856931585,-0.012117490326868588,0.015070351165270598,0.015295675505086592,-0.017503382083965825,-0.01700702160598984,0.028702470717997024,0.009097138358637631,-0.010333115085946943,-0.02463199773326718,0.04126859861504652,0.03020846119432022,0.03571718288667886,-0.022240121296880543,-0.0014007139395893768,0.005598302212728043,0.0007279057952371659,-0.0057557962845269355
.,0.037682113628757306,-0.0072183866968370345,-0.03195797503731939,-0.02766738630794808,-0.044181671560533126,-0.037621342251488346,0.03451485405523576,0.04159527457454932,0.04517712320249118,-0.00035978170746065255,-0.037241511444485245,-0.009994146670060626,-0.03351780806014195,0.013140810057916345,-0.0530778707571984,-0.03456441214610951,-0.05442116953485025,-0.045489263650773645,-0.16621380705248429,0.05290434462159117,-0.03992733289819577,-0.012720311424235062,-0.014017496209332852,0.06876146378293657,0.03366792445756073,-0.0166166854509552,0.0051699526256491265,-0.0050417930385919735,-0.003664686405254974,0.0011311936688055985,-0.00043585985377714905,0.005521517409755063,0.0651054998211135,-0.01318396420246539,-0.010962153855119736,-0.06428333038860382,0.004551267892134399,0.08040178143355015,-0.05854117648399797,-0.1601208077699405,0.03173480359384792,-0.04992781134564697,-0.019099864819938334,-0.18207089159860657,-0.016909070344978187,0.008437797786956887,0.014479761007341899,0.1002646532395694,-0.00011572464027117483,-0.022103608074193738
..,-0.01039841995794613,-0.032711628063894216,-0.00477302555210689,-0.0011898401048533814,-0.007241238366154179,0.0008236941427579406,-0.004158670801851569,-0.005669822428368928,0.0003448848727236522,-0.000427466020061856,0.0019148607429705952,-0.0011664101500484462,0.0005449526492792612,0.0027786610914283367,0.001106868300881192,0.002871778513921115,-0.010161958283497413,0.003578606593050836,-0.007421966690869334,-0.0028359681284543903,0.0019026556943049942,-0.006813292743994349,0.005212593459963572,-0.0022660492964640556,0.00675329895582627,-0.005087610703662674,-0.019721473141162432,-0.0009182233464124217,0.00026926375526416837,0.009823144594023187,0.0035254506319984526,0.00021994973919111011,0.0175664145070456,0.004934484049669051,0.0015982086858039705,-0.0010652648673763615,-0.0032891010394165655,-0.0022206194578148495,0.012641859868653486,0.016207612927173067,-0.0033025305254553616,-0.0071351123741782655,-0.0015000265021753237,0.002168326847132852,-0.0029786966797674874,-0.002195882054665094,-0.0014357123331186802,0.0008337225269164753,0.005124494468394396,-0.004974570169477404
...,-0.012397103312192672,0.022438366327512355,-0.009957167107681048,0.03466341317196436,-0.05934378115167905,-0.014140456817326634,0.005606613323886017,-0.04715895615471263,0.019047136968310632,-0.0042598489004084805,-0.11656081791053255,0.03229314627581384,-0.006231124559620887,-0.011095262974623309,0.022491642803445934,0.008065760107205638,0.019693338424059667,0.023577166436961408,0.007488690086466662,0.0635386372725032,0.022295563253071624,0.004132892926718134,-0.025988929873499753,0.14646073049332536,0.009140197781308805,0.0045681243461301825,0.01329407519057741,-0.015703324322797876,0.02047991201546133,-0.017482341440486018,0.048767168344121634,-0.018042489836348253,-0.013827546952252632,-0.017263147363447886,-0.024738318162575504,0.00045030962979047197,-0.009110407037333361,-0.021564949552222525,-0.05998644143219692,-6.71568207077089e-05,-0.015878468580801358,-0.00086659659972175,0.0262084249616673,0.01598008318554843,-0.009444909334555926,-0.01134394758555486,-0.0008238505833966976,-0.036254014699419926,-0.010917519262901096,0.03198452741326452
